Abilene, TX,86.5,2.0,71.7,3.2,,,,,,,
Akron, OH,89.1,0.8,79.0,1.2,,,,,,,
Albany, GA,80.8,2.2,68.4,2.9,,,,,,,
Albany, OR,91.6,1.9,80.1,2.9,,,,,,,
Albany-Schenectady-Troy, NY,90.1,0.7,81.7,1.0,,,,,,,
Albuquerque, NM,84.3,1.3,73.4,1.4,,,,,,,
Alexandria, LA,84.4,2.0,75.5,2.6,,,,,,,
Allentown-Bethlehem-Easton, PA-NJ,88.9,0.8,80.6,1.2,,,,,,,
Altoona, PA,85.5,1.5,76.6,2.8,,,,,,,
Amarillo, TX,88.2,1.6,75.7,2.6,,,,,,,
Ames, IA,96.1,1.0,86.0,3.0,,,,,,,
Anchorage, AK,94.7,1.3,87.2,1.8,,,,,,,
Ann Arbor, MI,94.6,0.9,85.7,1.6,,,,,,,
Anniston-Oxford-Jacksonville, AL,84.8,2.8,73.6,3.3,,,,,,,
Appleton, WI,91.8,1.1,83.1,2.1,,,,,,,
Asheville, NC,86.5,1.2,77.2,1.8,,,,,,,
Athens-Clarke County, GA,84.3,2.1,73.9,2.1,,,,,,,
Atlanta-Sandy Springs-Roswell, GA,91.6,0.4,81.5,0.5,,,,,,,
Atlantic City-Hammonton, NJ,89.9,1.7,79.9,2.1,,,,,,,
Auburn-Opelika, AL,87.4,2.8,77.7,3.9,,,,,,,
Augusta-Richmond County, GA-SC,85.5,1.4,74.1,1.8,,,,,,,
Austin-Round Rock, TX,92.0,0.7,82.8,1.0,,,,,,,
Bakersfield, CA,81.3,1.4,70.6,1.7,,,,,,,
Baltimore-Columbia-Towson, MD,90.8,0.5,82.9,0.6,,,,,,,
Bangor, ME,86.3,1.8,75.6,3.1,,,,,,,
Barnstable Town, MA,92.8,1.1,86.3,1.5,,,,,,,
Baton Rouge, LA,86.1,1.4,73.6,1.5,,,,,,,
Battle Creek, MI,85.7,1.6,68.3,3.2,,,,,,,
Bay City, MI,85.0,2.2,74.8,2.8,,,,,,,
Beaumont-Port Arthur, TX,82.1,1.7,72.1,2.0,,,,,,,
Beckley, WV,79.5,2.7,74.2,3.0,,,,,,,
Bellingham, WA,91.6,1.7,81.0,3.1,,,,,,,
Bend-Redmond, OR,93.2,1.6,81.4,3.3,,,,,,,
Billings, MT,89.6,1.7,79.9,2.3,,,,,,,
Binghamton, NY,88.9,1.3,80.0,2.1,,,,,,,
Birmingham-Hoover, AL,86.0,0.8,71.3,1.1,,,,,,,
Bismarck, ND,89.5,1.4,80.7,2.4,,,,,,,
Blacksburg-Christiansburg-Radford, VA,86.0,2.1,75.8,2.9,,,,,,,
Bloomington, IL,92.6,1.2,82.8,2.4,,,,,,,
Bloomington, IN,90.8,1.8,76.2,3.1,,,,,,,
Bloomsburg-Berwick, PA,83.1,2.2,75.3,2.5,,,,,,,
Boise City, ID,92.4,1.1,79.0,2.2,,,,,,,
Boston-Cambridge-Newton, MA-NH,92.6,0.3,86.9,0.5,,,,,,,
Boulder, CO,96.9,0.8,87.9,1.7,,,,,,,
Bowling Green, KY,88.1,1.8,75.5,3.0,,,,,,,
Bremerton-Silverdale, WA,94.6,0.9,88.1,1.6,,,,,,,
Bridgeport-Stamford-Norwalk, CT,93.3,0.7,87.9,0.8,,,,,,,
Brownsville-Harlingen, TX,71.7,2.6,57.4,3.1,,,,,,,
Brunswick, GA,87.3,2.8,73.5,4.1,,,,,,,
Buffalo-Cheektowaga-Niagara Falls, NY,87.9,0.6,78.0,0.9,,,,,,,
Burlington, NC,85.2,2.3,71.5,3.6,,,,,,,
Burlington-South Burlington, VT,93.4,1.2,85.8,1.6,,,,,,,
California-Lexington Park, MD,83.5,3.3,76.1,3.5,,,,,,,
Canton-Massillon, OH,87.0,1.0,79.9,1.1,,,,,,,
Cape Coral-Fort Myers, FL,89.9,1.0,78.8,1.6,,,,,,,
Cape Girardeau, MO-IL,82.1,3.1,69.9,3.4,,,,,,,
Carbondale-Marion, IL,81.8,2.6,71.0,3.2,,,,,,,
Carson City, NV,90.7,2.6,83.0,3.9,,,,,,,
Casper, WY,91.9,1.9,80.2,2.7,,,,,,,
Cedar Rapids, IA,90.4,1.2,81.8,1.8,,,,,,,
Chambersburg-Waynesboro, PA,84.6,2.0,76.0,2.7,,,,,,,
Champaign-Urbana, IL,91.4,1.3,83.4,1.9,,,,,,,
Charleston, WV,86.9,1.3,76.6,2.1,,,,,,,
Charleston-North Charleston, SC,89.1,1.1,77.1,1.6,,,,,,,
Charlotte-Concord-Gastonia, NC-SC,88.9,0.5,78.6,0.8,,,,,,,
Charlottesville, VA,87.6,1.7,75.9,2.5,,,,,,,
Chattanooga, TN-GA,85.2,1.1,76.1,1.4,,,,,,,
Cheyenne, WY,94.0,2.1,81.6,4.1,,,,,,,
Chicago-Naperville-Elgin, IL-IN-WI,89.6,0.2,80.5,0.4,,,,,,,
Chico, CA,91.1,1.1,81.5,1.6,,,,,,,
Cincinnati, OH-KY-IN,89.4,0.4,79.4,0.8,,,,,,,
Clarksville, TN-KY,88.8,1.6,77.9,2.4,,,,,,,
Cleveland, TN,78.9,3.2,66.0,4.1,,,,,,,
Cleveland-Elyria, OH,87.3,0.6,78.5,0.9,,,,,,,
Coeur d'Alene, ID,93.2,1.9,82.2,3.3,,,,,,,
College Station-Bryan, TX,89.0,2.0,73.9,3.2,,,,,,,
Colorado Springs, CO,94.4,0.7,88.5,1.0,,,,,,,
Columbia, MO,92.5,1.9,84.0,2.9,,,,,,,
Columbia, SC,88.8,0.9,74.6,1.4,,,,,,,
Columbus, GA-AL,83.5,1.7,70.3,2.1,,,,,,,
Columbus, IN,84.7,3.8,79.1,3.9,,,,,,,
Columbus, OH,91.0,0.5,82.1,0.8,,,,,,,
Corpus Christi, TX,87.6,1.3,73.6,2.0,,,,,,,
Corvallis, OR,95.3,1.4,89.0,2.4,,,,,,,
Crestview-Fort Walton Beach-Destin, FL,90.0,1.7,82.3,2.2,,,,,,,
Cumberland, MD-WV,78.3,2.7,69.4,3.6,,,,,,,
Dallas-Fort Worth-Arlington, TX,90.5,0.3,78.9,0.5,,,,,,,
Dalton, GA,84.6,3.1,75.0,4.3,,,,,,,
Danville, IL,75.5,3.4,62.0,4.0,,,,,,,
Daphne-Fairhope-Foley, AL,89.8,2.1,72.3,3.6,,,,,,,
Davenport-Moline-Rock Island, IA-IL,88.9,1.0,78.5,1.8,,,,,,,
Dayton, OH,89.1,0.8,77.4,1.2,,,,,,,
Decatur, AL,81.9,2.5,67.0,3.1,,,,,,,
Decatur, IL,84.5,1.9,73.0,3.3,,,,,,,
Deltona-Daytona Beach-Ormond Beach, FL,89.8,1.1,77.7,1.7,,,,,,,
Denver-Aurora-Lakewood, CO,92.9,0.5,83.4,0.8,,,,,,,
Des Moines-West Des Moines, IA,92.6,0.6,83.2,1.3,,,,,,,
Detroit-Warren-Dearborn, MI,89.5,0.3,77.5,0.4,,,,,,,
Dothan, AL,79.4,1.5,66.6,2.4,,,,,,,
Dover, DE,91.1,1.8,77.7,3.3,,,,,,,
Dubuque, IA,89.1,1.8,80.4,2.6,,,,,,,
Duluth, MN-WI,86.9,1.3,75.3,1.5,,,,,,,
Durham-Chapel Hill, NC,90.8,1.2,83.9,1.4,,,,,,,
East Stroudsburg, PA,92.2,1.7,85.1,2.7,,,,,,,
Eau Claire, WI,89.2,1.4,80.8,2.2,,,,,,,
El Centro, CA,87.6,1.9,69.2,3.6,,,,,,,
El Paso, TX,83.3,1.5,69.4,2.0,,,,,,,
Elizabethtown-Fort Knox, KY,91.1,1.6,81.5,3.0,,,,,,,
Elkhart-Goshen, IN,83.6,2.6,73.3,3.3,,,,,,,
Elmira, NY,87.0,2.3,77.7,3.0,,,,,,,
Erie, PA,87.0,1.4,76.8,2.0,,,,,,,
Eugene, OR,92.8,0.9,84.1,1.4,,,,,,,
Evansville, IN-KY,85.4,1.6,76.0,2.1,,,,,,,
Fairbanks, AK,93.8,2.0,77.2,4.3,,,,,,,
Fargo, ND-MN,93.0,1.1,82.0,2.1,,,,,,,
Farmington, NM,71.7,3.1,51.3,3.9,,,,,,,
Fayetteville, NC,89.5,1.0,78.1,1.6,,,,,,,
Fayetteville-Springdale-Rogers, AR-MO,89.5,1.2,65.8,2.0,,,,,,,
Flagstaff, AZ,85.6,2.8,73.6,3.0,,,,,,,
Flint, MI,84.0,1.5,72.2,2.3,,,,,,,
Florence, SC,79.6,2.6,64.4,3.0,,,,,,,
Florence-Muscle Shoals, AL,83.1,2.5,65.6,3.7,,,,,,,
Fond du Lac, WI,87.7,2.0,77.0,3.2,,,,,,,
Fort Collins, CO,94.6,1.1,85.0,1.9,,,,,,,
Fort Smith, AR-OK,79.2,1.9,64.5,2.5,,,,,,,
Fort Wayne, IN,89.3,1.1,77.4,1.8,,,,,,,
Fresno, CA,82.3,1.2,69.0,1.7,,,,,,,
Gadsden, AL,82.2,2.5,66.0,3.7,,,,,,,
Gainesville, FL,88.6,1.9,78.2,2.6,,,,,,,
Gainesville, GA,82.4,2.9,70.4,3.1,,,,,,,
Gettysburg, PA,89.8,1.6,79.1,3.1,,,,,,,
Glens Falls, NY,86.8,2.0,79.5,2.5,,,,,,,
Goldsboro, NC,84.1,2.9,72.3,3.4,,,,,,,
Grand Forks, ND-MN,90.8,1.6,83.2,1.9,,,,,,,
Grand Island, NE,82.1,3.8,71.7,4.1,,,,,,,
Grand Junction, CO,91.4,1.5,85.7,2.0,,,,,,,
Grand Rapids-Wyoming, MI,91.6,0.7,80.9,0.9,,,,,,,
Grants Pass, OR,88.4,3.0,77.0,4.5,,,,,,,
Great Falls, MT,85.2,3.3,76.3,3.8,,,,,,,
Greeley, CO,90.9,1.5,79.8,2.6,,,,,,,
Green Bay, WI,90.3,1.1,81.9,1.5,,,,,,,
Greensboro-High Point, NC,83.1,1.5,72.9,1.6,,,,,,,
Greenville, NC,86.4,2.3,74.3,3.3,,,,,,,
Greenville-Anderson-Mauldin, SC,84.3,1.0,72.9,1.4,,,,,,,
Gulfport-Biloxi-Pascagoula, MS,87.3,1.4,74.5,2.0,,,,,,,
Hagerstown-Martinsburg, MD-WV,88.3,1.3,75.4,2.5,,,,,,,
Hammond, LA,84.5,2.9,66.7,4.2,,,,,,,
Hanford-Corcoran, CA,81.6,3.5,70.2,3.5,,,,,,,
Harrisburg-Carlisle, PA,89.1,1.0,81.0,1.2,,,,,,,
Harrisonburg, VA,86.7,1.9,74.9,2.4,,,,,,,
Hartford-West Hartford-East Hartford, CT,90.6,0.6,83.4,0.9,,,,,,,
Hattiesburg, MS,90.6,2.0,70.2,3.9,,,,,,,
Hickory-Lenoir-Morganton, NC,82.2,1.6,68.2,2.3,,,,,,,
Hilton Head Island-Bluffton-Beaufort, SC,88.1,2.8,77.9,3.1,,,,,,,
Hinesville, GA,90.1,3.0,75.9,3.9,,,,,,,
Homosassa Springs, FL,89.8,1.8,79.2,2.7,,,,,,,
Hot Springs, AR,84.9,3.1,68.8,3.9,,,,,,,
Houma-Thibodaux, LA,85.4,2.2,74.9,2.7,,,,,,,
Houston-The Woodlands-Sugar Land, TX,88.7,0.5,78.1,0.6,,,,,,,
Huntington-Ashland, WV-KY-OH,84.3,1.5,72.2,2.2,,,,,,,
Huntsville, AL,88.8,1.4,78.3,2.1,,,,,,,
Idaho Falls, ID,91.3,1.9,80.5,2.7,,,,,,,
Indianapolis-Carmel-Anderson, IN,88.7,0.6,79.0,0.9,,,,,,,
Iowa City, IA,93.3,1.7,85.8,2.5,,,,,,,
Ithaca, NY,93.4,2.1,83.5,3.5,,,,,,,
Jackson, MI,88.1,1.8,72.6,3.4,,,,,,,
Jackson, MS,83.2,1.5,69.1,1.7,,,,,,,
Jackson, TN,83.3,2.4,68.3,3.5,,,,,,,
Jacksonville, FL,89.5,0.8,80.5,1.2,,,,,,,
Jacksonville, NC,91.1,1.8,79.9,3.1,,,,,,,
Janesville-Beloit, WI,90.6,1.6,77.6,2.5,,,,,,,
Jefferson City, MO,86.7,2.0,69.9,3.4,,,,,,,
Johnson City, TN,85.9,1.8,74.6,2.1,,,,,,,
